date,year,month,day,n_extent,n_missing,s_extent,s_missing
10-26-1978,1978,10,26,10.231,0,17.624,0
10-28-1978,1978,10,28,10.42,0,17.803,0
10-30-1978,1978,10,30,10.557,0,17.67,0
11-1-1978,1978,11,1,10.67,0,17.527,0
11-3-1978,1978,11,3,10.777,0,17.486,0
11-5-1978,1978,11,5,10.968,0,17.343,0
11-7-1978,1978,11,7,11.08,0,17.157,0
11-9-1978,1978,11,9,11.189,0,17.028,0
11-11-1978,1978,11,11,11.314,0,16.815,0
11-13-1978,1978,11,13,11.46,0,16.371,0
11-15-1978,1978,11,15,11.539,0,16.176,0
11-17-1978,1978,11,17,11.696,0,15.52,0
11-19-1978,1978,11,19,11.87,0,15.267,0
11-21-1978,1978,11,21,12.053,0,15.027,0
11-23-1978,1978,11,23,12.274,0,14.681,0
11-25-1978,1978,11,25,12.441,0,14.449,0
11-27-1978,1978,11,27,12.662,0,13.98,0
11-29-1978,1978,11,29,12.684,0,13.619,0
12-1-1978,1978,12,1,12.725,0,13.33,0
12-3-1978,1978,12,3,12.66,0,13.097,0
12-5-1978,1978,12,5,12.785,0,12.829,0
12-7-1978,1978,12,7,13.051,0,12.436,0
12-9-1978,1978,12,9,13.143,0,11.963,0
12-11-1978,1978,12,11,13.437,0,11.652,0
12-13-1978,1978,12,13,13.603,0,11.148,0
12-15-1978,1978,12,15,13.649,0,10.664,0
12-17-1978,1978,12,17,13.807,0,10.239,0
12-19-1978,1978,12,19,13.892,0,9.758,0
12-21-1978,1978,12,21,13.996,0,9.362,0
12-23-1978,1978,12,23,14.189,0,8.706,0
12-25-1978,1978,12,25,14.268,0,8.362,0
12-27-1978,1978,12,27,14.383,0,7.907,0
12-29-1978,1978,12,29,14.5,0,7.588,0
12-31-1978,1978,12,31,14.585,0,7.283,0
1-2-1979,1979,1,2,14.997,0,6.945,0
1-4-1979,1979,1,4,14.922,0,6.838,0
1-6-1979,1979,1,6,14.929,0,6.638,0
1-8-1979,1979,1,8,14.968,0,6.27,0
1-10-1979,1979,1,10,15.19,0,6.138,0
1-12-1979,1979,1,12,15.327,0,5.952,0
1-14-1979,1979,1,14,15.352,0,5.564,0
1-16-1979,1979,1,16,15.5,0,5.379,0
1-18-1979,1979,1,18,15.517,0,5.233,0
1-20-1979,1979,1,20,15.709,0,4.984,0
1-22-1979,1979,1,22,15.679,0,4.609,0
1-24-1979,1979,1,24,15.745,0,4.397,0
1-26-1979,1979,1,26,15.686,0,4.184,0
1-28-1979,1979,1,28,15.777,0,4.004,0
1-30-1979,1979,1,30,15.912,0,3.898,0
2-1-1979,1979,2,1,15.857,0,3.704,0
2-3-1979,1979,2,3,15.839,0,3.516,0
2-5-1979,1979,2,5,15.831,0,3.367,0
